Tanggal,Positif (Jakarta),Sembuh (Jakarta),Meninggal (Jakarta),Positif Aktif (Jakarta),mortality_rate,recovery_rate
2020-03-03,3,0,1,2,0.3333333333333333,0.0
2020-03-04,3,0,1,2,0.3333333333333333,0.0
2020-03-05,7,0,3,4,0.42857142857142855,0.0
2020-03-06,7,0,3,4,0.42857142857142855,0.0
2020-03-07,7,0,3,4,0.42857142857142855,0.0
2020-03-08,7,0,3,4,0.42857142857142855,0.0
2020-03-09,34,0,3,31,0.08823529411764706,0.0
2020-03-10,34,0,3,31,0.08823529411764706,0.0
2020-03-11,36,0,3,33,0.08333333333333333,0.0
2020-03-12,62,0,5,57,0.08064516129032258,0.0
2020-03-13,72,0,7,65,0.09722222222222222,0.0
2020-03-14,79,0,9,70,0.11392405063291139,0.0
2020-03-15,95,0,11,84,0.11578947368421053,0.0
2020-03-16,97,0,12,85,0.12371134020618557,0.0
2020-03-17,122,0,12,110,0.09836065573770492,0.0
2020-03-18,160,12,15,133,0.09375,0.075
2020-03-19,210,13,19,178,0.09047619047619047,0.06190476190476191
2020-03-20,224,13,20,191,0.08928571428571429,0.05803571428571429
2020-03-21,268,17,23,228,0.08582089552238806,0.06343283582089553
2020-03-22,304,21,29,254,0.09539473684210527,0.06907894736842106
2020-03-23,355,22,29,304,0.08169014084507042,0.061971830985915494
2020-03-24,426,23,34,369,0.07981220657276995,0.0539906103286385
2020-03-25,472,27,43,402,0.09110169491525423,0.057203389830508475
2020-03-26,515,29,49,437,0.09514563106796116,0.05631067961165048
2020-03-27,566,31,57,478,0.10070671378091872,0.054770318021201414
2020-03-28,603,43,62,498,0.10281923714759536,0.07131011608623548
2020-03-29,701,48,67,586,0.09557774607703282,0.06847360912981455
2020-03-30,727,49,78,600,0.10729023383768914,0.06740027510316368
2020-03-31,741,49,84,608,0.11336032388663968,0.06612685560053981
2020-04-01,816,51,90,675,0.11029411764705882,0.0625
2020-04-02,909,54,95,760,0.10451045104510451,0.0594059405940594
2020-04-03,990,56,98,836,0.09898989898989899,0.05656565656565657
2020-04-04,1071,58,99,914,0.09243697478991597,0.05415499533146592
2020-04-05,1151,64,123,964,0.10686359687228497,0.05560382276281494
2020-04-06,1299,68,131,1100,0.100846805234796,0.05234795996920708
2020-04-07,1443,69,141,1233,0.09771309771309772,0.04781704781704782
2020-04-08,1552,75,144,1333,0.09278350515463918,0.04832474226804124
2020-04-09,1719,82,155,1482,0.09016870273414776,0.0477021524141943
2020-04-10,1810,82,156,1572,0.0861878453038674,0.045303867403314914
2020-04-11,1903,142,168,1593,0.0882816605359958,0.07461902259590121
2020-04-12,2082,142,195,1745,0.0936599423631124,0.06820365033621517
2020-04-13,2242,142,209,1891,0.09322033898305085,0.06333630686886708
2020-04-14,2349,163,243,1943,0.10344827586206896,0.06939123031077055
2020-04-15,2447,164,246,2037,0.10053126277073968,0.06702084184715978
