Tanggal,Harian Pemakaman Umum,Total Pemakaman Umum
2020-03-01,150,150
2020-03-02,136,286
2020-03-03,135,421
2020-03-04,116,537
2020-03-05,124,661
2020-03-06,158,819
2020-03-07,144,963
2020-03-08,106,1069
2020-03-09,145,1214
2020-03-10,146,1360
2020-03-11,148,1508
2020-03-12,154,1662
2020-03-13,124,1786
2020-03-14,162,1948
2020-03-15,119,2067
2020-03-16,128,2195
2020-03-17,135,2330
2020-03-18,122,2452
2020-03-19,108,2560
2020-03-20,138,2698
2020-03-21,118,2816
2020-03-22,150,2966
2020-03-23,151,3117
2020-03-24,119,3236
2020-03-25,160,3396
2020-03-26,117,3513
2020-03-27,150,3663
2020-03-28,141,3804
2020-03-29,153,3957
2020-03-30,140,4097
2020-03-31,148,4245
2020-04-01,171,4416
2020-04-02,178,4594
2020-04-03,143,4737
2020-04-04,151,4888
2020-04-05,160,5048
2020-04-06,179,5227
2020-04-07,159,5386
2020-04-08,157,5543
2020-04-09,134,5677
2020-04-10,152,5829
2020-04-11,148,5977
2020-04-12,147,6124
2020-04-13,173,6297
2020-04-14,167,6464
2020-04-15,143,6607
2020-04-16,172,6779
2020-04-17,145,6924
2020-04-18,144,7068
2020-04-19,136,7204
2020-04-20,163,7367
2020-04-21,153,7520
2020-04-22,179,7699
2020-04-23,169,7868
2020-04-24,149,8017
2020-04-25,186,8203
2020-04-26,155,8358
2020-04-27,140,8498
2020-04-28,124,8622
2020-04-29,110,8732
2020-04-30,125,8857
2020-05-01,125,8982
2020-05-02,149,9131
2020-05-03,129,9260
2020-05-04,162,9422
2020-05-05,145,9567
2020-05-06,132,9699
2020-05-07,139,9838
2020-05-08,160,9998
2020-05-09,139,10137
2020-05-10,152,10289
2020-05-11,112,10401
2020-05-12,139,10540
2020-05-13,165,10705
2020-05-14,147,10852
2020-05-15,154,11006
2020-05-16,164,11170
2020-05-17,171,11341
2020-05-18,128,11469
2020-05-19,144,11613
2020-05-20,138,11751
2020-05-21,139,11890
2020-05-22,119,12009
2020-05-23,132,12141
2020-05-24,126,12267
2020-05-25,165,12432
2020-05-26,166,12598
2020-05-27,154,12752
2020-05-28,147,12899
2020-05-29,155,13054
2020-05-30,132,13186
2020-05-31,126,13312
2020-06-01,126,13438
2020-06-02,138,13576
2020-06-03,145,13721
2020-06-04,138,13859
2020-06-05,125,13984
2020-06-06,149,14133
2020-06-07,127,14260
2020-06-08,131,14391
2020-06-09,127,14518
2020-06-10,132,14650
2020-06-11,116,14766
2020-06-12,133,14899
2020-06-13,126,15025
2020-06-14,129,15154
2020-06-15,145,15299
2020-06-16,145,15444
2020-06-17,150,15594
2020-06-18,135,15729
2020-06-19,119,15848
2020-06-20,125,15973
2020-06-21,120,16093
2020-06-22,124,16217
2020-06-23,123,16340
2020-06-24,129,16469
2020-06-25,125,16594
2020-06-26,148,16742
2020-06-27,144,16886
2020-06-28,128,17014
2020-06-29,126,17140
2020-06-30,147,17287
2020-07-01,139,17426
2020-07-02,122,17548
2020-07-03,117,17665
2020-07-04,142,17807
2020-07-05,116,17923
2020-07-06,127,18050
2020-07-07,112,18162
2020-07-08,145,18307
2020-07-09,126,18433
2020-07-10,118,18551
2020-07-11,146,18697
2020-07-12,139,18836
2020-07-13,132,18968
2020-07-14,146,19114
2020-07-15,137,19251
2020-07-16,111,19362
2020-07-17,131,19493
2020-07-18,150,19643
2020-07-19,123,19766
2020-07-20,151,19917
2020-07-21,152,20069
2020-07-22,132,20201
2020-07-23,168,20369
2020-07-24,155,20524
2020-07-25,140,20664
2020-07-26,117,20781
2020-07-27,143,20924
2020-07-28,144,21068
2020-07-29,147,21215
2020-07-30,141,21356
2020-07-31,152,21508
2020-08-01,151,21659
2020-08-02,141,21800
2020-08-03,129,21929
2020-08-04,152,22081
2020-08-05,138,22219
2020-08-06,130,22349
2020-08-07,159,22508
2020-08-08,162,22670
2020-08-09,145,22815
2020-08-10,167,22982
2020-08-11,136,23118
2020-08-12,150,23268
2020-08-13,149,23417
2020-08-14,152,23569
2020-08-15,150,23719
2020-08-16,143,23862
2020-08-17,157,24019
2020-08-18,145,24164
2020-08-19,147,24311
2020-08-20,168,24479
2020-08-21,160,24639
2020-08-22,157,24796
2020-08-23,139,24935
2020-08-24,162,25097
2020-08-25,161,25258
2020-08-26,167,25425
2020-08-27,165,25590
2020-08-28,180,25770
2020-08-29,152,25922
2020-08-30,227,26149
2020-08-31,166,26315
2020-09-01,281,26596
2020-09-02,181,26777
2020-09-03,155,26932
2020-09-04,176,27108
2020-09-05,216,27324
2020-09-06,183,27507
2020-09-07,160,27667
2020-09-08,189,27856
2020-09-09,205,28061
2020-09-10,214,28275
2020-09-11,186,28461
2020-09-12,189,28650
