Kecamatan,Kota / Kabupaten,Target Total Vaksin Per Kecamatan
Cakung,Jakarta Timur,515628.0
Cengkareng,Jakarta Barat,519118.0
Kali Deres,Jakarta Barat,406018.0
Cilincing,Jakarta Utara,392136.0
Duren Sawit,Jakarta Timur,404329.0
Tanjung Priok,Jakarta Utara,377764.0
Jagakarsa,Jakarta Selatan,329378.0
Kebon Jeruk,Jakarta Barat,327860.0
Koja,Jakarta Utara,309976.0
Kebayoran Lama,Jakarta Selatan,299047.0
Jatinegara,Jakarta Timur,295073.0
Kramat Jati,Jakarta Timur,286172.0
Pasar Minggu,Jakarta Selatan,300472.0
Penjaringan,Jakarta Utara,292546.0
Ciracas,Jakarta Timur,286157.0
Pulo Gadung,Jakarta Timur,280197.0
Kembangan,Jakarta Barat,275438.0
Cipayung,Jakarta Timur,263441.0
Tambora,Jakarta Barat,247014.0
Pesanggrahan,Jakarta Selatan,239745.0
Kemayoran,Jakarta Pusat,231712.0
Tebet,Jakarta Selatan,219339.0
Grogol Petamburan,Jakarta Barat,218293.0
Palmerah,Jakarta Barat,209979.0
Pasar Rebo,Jakarta Timur,211912.0
Cilandak,Jakarta Selatan,206339.0
Makasar,Jakarta Timur,201749.0
Matraman,Jakarta Timur,173223.0
Tanah Abang,Jakarta Pusat,159859.0
Pancoran,Jakarta Selatan,160208.0
Pademangan,Jakarta Utara,153617.0
Mampang Prapatan,Jakarta Selatan,144281.0
Kebayoran Baru,Jakarta Selatan,143481.0
Taman Sari,Jakarta Barat,118051.0
Sawah Besar,Jakarta Pusat,113400.0
Kelapa Gading,Jakarta Utara,132180.0
Johar Baru,Jakarta Pusat,128851.0
Senen,Jakarta Pusat,116078.0
Setia Budi,Jakarta Selatan,107175.0
Cempaka Putih,Jakarta Pusat,91267.0
Gambir,Jakarta Pusat,87798.0
Menteng,Jakarta Pusat,81850.0
Kep. Seribu Utara,Kepulauan Seribu,14892.0
Kep. Seribu Selatan,Kepulauan Seribu,10673.0
